tipeee_account,youtube_channel,country,gender,date,tipeee_type1,tipeee_type2,youtube_type3,videos,viewers,views,tippers,tips
Thinkerview,Thinkerview,FR,N,2012-10-30,Journalisme,Streaming,News,151,335818,29536313,1772,14461
DirtyBiology,DirtyBiology,FR,M,2014-02-17,Humour,Sciences & Technologies,Tech,71,739426,42522998,934,2282
Hacking social,horizon-gull,NA,M,2013-11-05,Autre,NA,Education,38,151390,4764559,820,2700
Hygiène Mentale,Hygiène Mentale,FR,M,2014-07-22,Journalisme,Sciences & Technologies,Education,46,266564,9078958,770,2216
Mr Mondialisation,MrMondialisation,BE,M,2010-02-10,Arts & Culture,Journalisme,Nonprofit,36,56984,5091981,711,3165
Heu?reka,Heu?reka,FR,M,2015-10-18,Autre,NA,Education,63,124441,4141146,708,2596
NEXUS VI,NEXUS VI,FR,M,2014-12-05,Cinéma,Geek,Film,56,178972,8453241,680,2737
Et tout le monde s'en fout,Et tout le monde s'en fout,FR,M,2017-01-22,Humour,Sciences & Technologies,Film,62,485862,28055614,627,2218
Monsieur Phi,Monsieur Phi,FR,M,2016-07-14,Arts & Culture,Sciences & Technologies,Education,99,112006,5519242,626,2158
Science étonnante,ScienceEtonnante,FR,M,2011-01-04,Arts & Culture,Sciences & Technologies,Tech,78,638063,37621402,608,1401
Le Fil d'Actu,Le Fil d'Actu,FR,F,2015-09-30,Autre,Journalisme,Entertainment,221,114786,6467556,583,2396
Nota Bene,Nota Bene,FR,M,2014-08-24,Geek,Sciences & Technologies,Education,193,899984,65817921,572,1389
Stupid Economics,Stupid Economics,FR,M,2015-06-19,Journalisme,Sciences & Technologies,Education,60,154527,3785846,535,1275
nowtechTV,Nowtech,FR,N,2013-03-18,Photo,Sciences & Technologies,Tech,357,172266,14172660,505,2400
Le Studio de Poche,Le Studio de Poche,FR,M,2010-02-22,Photo,NA,Entertainment,194,84156,7001760,478,1652
DEFAKATOR,Officiel DEFAKATOR,NA,M,2016-10-21,Humour,Sciences & Technologies,Entertainment,23,189700,8452716,440,1886
C'est une autre histoire,C'est une autre histoire,FR,F,2015-06-27,Arts & Culture,Humour,Education,74,230645,6541656,438,1571
e-penser,e-penser,FR,M,2013-08-26,Geek,Sciences & Technologies,Education,123,1049747,88837499,436,1085
Partager C'est Sympa,Partager C'est Sympa,FR,M,2007-02-22,Humour,Vlog,People,224,56310,2510837,422,2434
J'suis pas content !,J'suis pas content TV,FR,M,2015-01-21,Humour,Vlog,Comedy,350,170674,37480754,415,1804
Osons Causer !,Osons Causer,FR,M,2015-06-12,Journalisme,Vlog,News,100,235185,13504601,410,1679
Horror humanum est,horror humanum est,FR,M,2015-12-11,Arts & Culture,NA,Film,47,301605,16398741,409,1051
Game Spectrum,Game Spectrum,FR,M,2011-07-08,Arts & Culture,Jeux-vidéo,Games,12,35025,587762,391,1666
P.A.U.L,La chaîne de P.A.U.L,FR,M,2012-09-28,Geek,NA,Entertainment,84,275641,13368942,376,1214
La Tronche en Biais,La Tronche en Biais,FR,M,2014-11-11,Arts & Culture,Sciences & Technologies,Tech,195,132977,8480040,375,1375
Kriss : LanguedePub / Minute Papillon,Kriss Papillon,FR,M,2008-10-27,Humour,NA,Comedy,434,654606,130117699,363,1323
Hugo Lisoir,Hugo Lisoir,FR,M,2013-09-08,Jeux-vidéo,Sciences & Technologies,Tech,348,164958,20136596,354,1330
chat sceptique,chat sceptique,BE,M,2018-08-17,Sciences & Technologies,NA,NA,9,87176,558797,349,1134
Linguisticae,Linguisticae,FR,M,2014-12-20,Arts & Culture,Littérature,Education,149,221967,12549859,343,891
NURÉA TV,NURÉA TV,FR,N,2016-01-25,Journalisme,NA,Howto,318,66221,12255972,342,2215
Clément MONTFORT - NEXT Web Série Doc,Clément MONTFORT,FR,M,2013-08-24,Journalisme,Sciences & Technologies,Education,28,22644,1560269,333,2550
LinksTheSun,LinksTheSun,FR,M,2006-06-09,Arts & Culture,Humour,Comedy,296,1581283,253377602,315,904
Le Cinéma de Durendal,Le Cinéma de Durendal,FR,M,2006-11-18,Cinéma,Vlog,Entertainment,888,245051,91098023,311,1558
NOOB - WARPZONE,OLYDRI,FR,N,2008-02-26,BD & Illustration,Jeux-vidéo,Comedy,510,309010,79348184,307,1708
ALT236,ALT 236,FR,M,2016-08-31,Arts & Culture,Cinéma,Entertainment,52,108103,4826229,306,1508
Thomas Gauthier,Thomas Gauthier,CA,M,2011-07-24,Humour,NA,Comedy,166,436174,37371824,295,868
MrSam,Mr. Sam,BE,M,2013-06-28,Geek,Sciences & Technologies,Tech,51,67332,2484399,284,1100
"Permaculture, Agroécologie, Etc ...","Permaculture, Agroécologie, Etc ...",FR,M,2014-08-06,Sciences & Technologies,Nature,Education,203,151113,16595727,278,3266
Le Réveilleur,Le Réveilleur,FR,M,2015-03-31,Sciences & Technologies,Nature,Education,56,41607,1190293,274,1370
Tatiana Ventôse,Tatiana Ventôse,NA,F,2016-09-18,Journalisme,Vlog,News,111,102594,7211819,273,2469
Les Revues du Monde,Les Revues du Monde,FR,F,2014-07-22,Arts & Culture,Sciences & Technologies,Education,39,509358,14996163,270,934
BaladeMentale,Balade Mentale,FR,M,2015-09-29,Arts & Culture,Sciences & Technologies,Tech,115,199934,11236276,259,731
YogaCoaching,YogaCoaching,FR,F,2013-09-30,Sports & Loisirs,NA,Sports,246,74353,5158081,207,980
Scilabus,Scilabus,CA,F,2013-09-12,Geek,Sciences & Technologies,Education,82,120920,4181287,198,452
